CodDepto,Departamento,CodMunicipio,Municipio,IDRegimen,Año,Mes,NumPersonas
20,CESAR,20060,BOSCONIA,S,2022,4,35572
15,BOYACA,15755,SOCOTÁ,C,2022,4,2020
25,CUNDINAMARCA,25001,AGUA DE DIOS,S,2022,4,5006
25,CUNDINAMARCA,25596,QUIPILE,S,2022,4,4701
05,ANTIOQUIA,05055,ARGELIA,E,2022,4,194
52,NARINO,52683,SANDONÁ,E,2022,4,412
85,CASANARE,85300,SABANALARGA,C,2022,4,564
73,TOLIMA,73585,PURIFICACIÓN,C,2022,4,5314
23,CORDOBA,23189,CIÉNAGA DE ORO,S,2022,4,48848
25,CUNDINAMARCA,25436,MANTA,E,2022,4,56
73,TOLIMA,73168,CHAPARRAL,S,2022,4,39885
13,BOLIVAR,13780,TALAIGUA NUEVO,C,2022,4,1435
25,CUNDINAMARCA,25288,FÚQUENE,E,2022,4,38
68,SANTANDER,68245,EL GUACAMAYO,S,2022,4,1414
50,META,50223,CUBARRAL,E,2022,4,10
54,NORTE DE SANTANDER,54250,EL TARRA,E,2022,4,293
54,NORTE DE SANTANDER,54206,CONVENCIÓN,S,2022,4,18122
70,SUCRE,70508,OVEJAS,S,2022,4,22812
15,BOYACA,15507,OTANCHE,E,2022,4,119
52,NARINO,52210,CONTADERO,S,2022,4,5808
81,ARAUCA,81001,ARAUCA,S,2022,4,68199
73,TOLIMA,73030,AMBALEMA,E,2022,4,65
19,CAUCA,19110,BUENOS AIRES,C,2022,4,1533
85,CASANARE,85279,RECETOR,E,2022,4,40
68,SANTANDER,68176,CHIMA,C,2022,4,334
17,CALDAS,17867,VICTORIA,S,2022,4,5243
05,ANTIOQUIA,05234,DABEIBA,S,2022,4,20131
19,CAUCA,19622,ROSAS,S,2022,4,8507
73,TOLIMA,73226,CUNDAY,E,2022,4,139
27,CHOCO,27413,LLORÓ,C,2022,4,341
52,NARINO,52506,OSPINA,C,2022,4,357
68,SANTANDER,68425,MACARAVITA,E,2022,4,65
91,AMAZONAS,91000,AMAZONAS (TOTAL CD.),C,2022,4,181
85,CASANARE,85225,NUNCHÍA,E,2022,4,136
05,ANTIOQUIA,05658,SAN JOSÉ DE LA MONTAÑA,C,2022,4,1134
13,BOLIVAR,13600,RÍO VIEJO,S,2022,4,7083
23,CORDOBA,23189,CIÉNAGA DE ORO,E,2022,4,932
73,TOLIMA,73520,PALOCABILDO,S,2022,4,8270
05,ANTIOQUIA,05490,NECOCLÍ,S,2022,4,48260
05,ANTIOQUIA,05425,MACEO,S,2022,4,5704
68,SANTANDER,68298,GAMBITA,E,2022,4,80
19,CAUCA,19517,PÁEZ,S,2022,4,33155
27,CHOCO,27425,MEDIO ATRATO,C,2022,4,185
54,NORTE DE SANTANDER,54660,SALAZAR,C,2022,4,939
13,BOLIVAR,13030,ALTOS DEL ROSARIO,E,2022,4,145
05,ANTIOQUIA,05660,SAN LUIS,E,2022,4,222
25,CUNDINAMARCA,25178,CHIPAQUE,E,2022,4,70
25,CUNDINAMARCA,25335,GUAYABETAL,C,2022,4,675
50,META,50325,MAPIRIPÁN,S,2022,4,5806
25,CUNDINAMARCA,25260,EL ROSAL,S,2022,4,6134
47,MAGDALENA,47545,PIJIÑO DEL CARMEN,C,2022,4,608
23,CORDOBA,23555,PLANETA RICA,C,2022,4,14201
27,CHOCO,27001,QUIBDÓ,E,2022,4,6313
20,CESAR,20001,VALLEDUPAR,E,2022,4,11580
68,SANTANDER,68669,SAN ANDRÉS,S,2022,4,5977
13,BOLIVAR,13052,ARJONA,C,2022,4,9313
66,RISARALDA,66088,BELÉN DE UMBRÍA,E,2022,4,395
27,CHOCO,27800,UNGUÍA,S,2022,4,9436
19,CAUCA,19809,TIMBIQUÍ,S,2022,4,21251
63,QUINDIO,63594,QUIMBAYA,E,2022,4,379
73,TOLIMA,73675,SAN ANTONIO,C,2022,4,741
05,ANTIOQUIA,05631,SABANETA,S,2022,4,9828
05,ANTIOQUIA,05134,CAMPAMENTO,C,2022,4,536
05,ANTIOQUIA,05036,ANGELÓPOLIS,S,2022,4,2453
73,TOLIMA,73770,SUÁREZ,E,2022,4,48
27,CHOCO,27250,EL LITORAL DEL SAN JUAN,E,2022,4,124
86,PUTUMAYO,86885,VILLAGARZÓN,C,2022,4,4293
25,CUNDINAMARCA,25288,FÚQUENE,S,2022,4,2300
68,SANTANDER,68179,CHIPATÁ,S,2022,4,3064
52,NARINO,52693,SAN PABLO,S,2022,4,11772
52,NARINO,52323,GUALMATÁN,E,2022,4,35
15,BOYACA,15403,LA UVITA,E,2022,4,64
05,ANTIOQUIA,05615,RIONEGRO,S,2022,4,29941
15,BOYACA,15226,CUÍTIVA,C,2022,4,166
47,MAGDALENA,47541,PEDRAZA,C,2022,4,239
52,NARINO,52411,LINARES,S,2022,4,8385
70,SUCRE,70702,SAN JUAN DE BETULIA,I,2022,4,3
25,CUNDINAMARCA,25297,GACHETÁ,S,2022,4,5290
05,ANTIOQUIA,05873,VIGÍA DEL FUERTE,E,2022,4,191
25,CUNDINAMARCA,25518,PAIME,C,2022,4,303
66,RISARALDA,66687,SANTUARIO,E,2022,4,170
25,CUNDINAMARCA,25843,UBATÉ,C,2022,4,37938
25,CUNDINAMARCA,25286,FUNZA,S,2022,4,15705
15,BOYACA,15189,CIÉNEGA,C,2022,4,325
19,CAUCA,19517,PÁEZ,E,2022,4,521
05,ANTIOQUIA,05576,PUEBLORRICO,S,2022,4,5682
15,BOYACA,15325,GUAYATÁ,C,2022,4,290
18,CAQUETA,18247,EL DONCELLO,S,2022,4,16929
05,ANTIOQUIA,05093,BETULIA,S,2022,4,13872
05,ANTIOQUIA,05353,HISPANIA,S,2022,4,2580
52,NARINO,52835,TUMACO,S,2022,4,155576
76,VALLE,76892,YUMBO,S,2022,4,41664
05,ANTIOQUIA,05652,SAN FRANCISCO,C,2022,4,488
70,SUCRE,70670,SAMPUÉS,C,2022,4,2887
19,CAUCA,19355,INZA,C,2022,4,1489
25,CUNDINAMARCA,25898,ZIPACÓN,C,2022,4,848
73,TOLIMA,73349,HONDA,C,2022,4,14427
25,CUNDINAMARCA,25594,QUETAME,E,2022,4,65
20,CESAR,20295,GAMARRA,E,2022,4,157
50,META,50287,FUENTE DE ORO,E,2022,4,92
08,ATLANTICO,08638,SABANALARGA,S,2022,4,68765
13,BOLIVAR,13836,TURBACO,E,2022,4,909
76,VALLE,76828,TRUJILLO,C,2022,4,2570
50,META,50313,GRANADA,C,2022,4,23211
25,CUNDINAMARCA,25181,CHOACHÍ,S,2022,4,5961
20,CESAR,20178,CHIRIGUANÁ,C,2022,4,5140
15,BOYACA,15022,ALMEIDA,C,2022,4,193
13,BOLIVAR,13442,MARÍA LA BAJA,E,2022,4,733
05,ANTIOQUIA,05819,TOLEDO,C,2022,4,995
